Year,PRT,ESP,FRA,ITA,GRC,DZA,AUT,BGR,HRV,CYP,CZE,EST,FIN,DEU,HUN,LVA,LBN,LTU,MAR,NLD,MKD,NOR,POL,ROU,SRB,SVK,SVN,SWE,CHE,TUR,UKR
1995,169 612 ,143 484 ,18 137 ,48 884 ,27 202 ,,43.0,550.0,4651.0,,403.0,,,592.0,,535.0,,321.0,7018.0,,,,5403.0,208.0,,,,,446.0,7676.0,
1996,88 867 ,59 814 ,11 400 ,57 988 ,25 310 ,,8.0,906.0,11214.0,,2043.0,,433.0,1381.0,,927.0,,478.0,1185.0,,,,14537.0,227.0,,,,,293.0,14922.0,
1997,30 535 ,98 503 ,21 581 ,111 230 ,52 373 ,,28.0,595.0,11122.0,,359.0,,1146.0,599.0,,448.0,,226.0,3845.0,,,,6766.0,68.0,,,,,1785.0,6517.0,
1998,158 369 ,133 643 ,19 282 ,155 553 ,92 901 ,,101.0,6967.0,32056.0,,1132.0,,131.0,397.0,,211.0,,93.0,1855.0,,,,4222.0,137.0,,,,422.0,274.0,6764.0,
1999,70 613 ,82 217 ,15 906 ,71 117 ,8 289 ,,6.0,8291.0,6053.0,,336.0,,609.0,415.0,756.0,1544.0,,494.0,1688.0,,,,8629.0,379.0,,557.0,,1771.0,30.0,5804.0,
2000,159 605 ,188 586 ,24 078 ,114 648 ,145 033 ,,32.0,57406.0,68171.0,8034.0,375.0,684.0,266.0,581.0,1595.0,1341.0,,352.0,4064.0,,,,7089.0,3607.0,,904.0,,1552.0,70.0,26653.0,
2001,117 420 ,93 297 ,20 642 ,76 427 ,18 221 ,,20.0,20152.0,16169.0,4830.0,87.0,62.0,187.0,122.0,,311.0,,113.0,1806.0,,,895.0,3466.0,1001.0,,305.0,,1254.0,21.0,7394.0,
2002,130 849 ,107 464 ,30 160 ,40 791 ,6 013 ,,112.0,6513.0,4853.0,2196.0,178.0,2082.0,590.0,122.0,1227.0,2222.0,,746.0,593.0,,,221.0,5210.0,3536.0,,595.0,161.0,2626.0,681.0,8514.0,
2003,471 750 ,148 172 ,73 278 ,91 805 ,3 517 ,,122.0,5000.0,27091.0,2349.0,1236.0,207.0,666.0,1315.0,845.0,559.0,,436.0,2858.0,,,942.0,21551.0,762.0,,1567.0,2100.0,4002.0,673.0,6644.0,
2004,151 370 ,134 193 ,13 711 ,60 176 ,10 267 ,,19.0,1137.0,3378.0,1218.0,335.0,379.0,358.0,274.0,247.0,486.0,,253.0,8660.0,,,117.0,3782.0,124.0,,157.0,138.0,1883.0,31.0,4876.0,
2005,346 718 ,188 697 ,22 135 ,47 575 ,6 437 ,,13.0,1456.0,3135.0,1838.0,227.0,85.0,495.0,183.0,3531.0,120.0,,51.0,6198.0,,,346.0,5713.0,162.0,,524.0,280.0,1562.0,67.0,2821.0,
2006,83 706 ,155 345 ,7 026,39 946 ,12 661 ,,54.0,3540.0,4575.0,1160.0,53.0,2638.0,1617.0,482.0,625.0,3387.0,,1199.0,5360.0,,,3829.0,5657.0,946.0,,280.0,1420.0,5710.0,127.0,7762.0,
2007,36 413 ,86 122 ,7 057,227 729 ,225 734 ,,54.0,42999.0,20209.0,4483.0,316.0,292.0,576.0,256.0,4636.0,272.0,,38.0,1367.0,,32665.0,128.0,2841.0,2529.0,,679.0,128.0,1090.0,337.0,11664.0,12731.0
2008,19 897 ,50 322 ,4 710,66 329 ,29 152 ,,20.0,5289.0,7343.0,2392.0,86.0,1279.0,830.0,539.0,2404.0,364.0,,112.0,1127.0,,5915.0,3174.0,3027.0,373.0,,118.0,75.0,6113.0,68.0,29749.0,4521.0
2009,92 126 ,120 094 ,14 612,73 355 ,35 342 ,,58.0,2271.0,2900.0,885.0,178.0,59.0,576.0,262.0,6463.0,646.0,,287.0,3108.0,,1307.0,1329.0,4400.0,974.0,712.0,510.0,177.0,1537.0,60.0,4679.0,4575.0
2010,140 953 ,54 770 ,8 524,46 537 ,8 967 ,,36.0,6526.0,1121.0,2000.0,205.0,25.0,520.0,522.0,878.0,92.0,,22.0,5511.0,,737.0,769.0,2126.0,206.0,4.0,192.0,121.0,540.0,27.0,3517.0,1239.0
2011,77 104 ,102 161 ,6 800,72 004 ,29 144 ,13593.0,67.0,6883.0,15555.0,1599.0,337.0,19.0,580.0,214.0,8055.0,115.0,,293.0,3460.0,,17308.0,121.0,2678.0,2195.0,5003.0,403.0,288.0,945.0,225.0,3612.0,612.0
2012,117 985 ,226 125 ,7 584,130 814 ,59 924 ,99061.0,48.0,12730.0,24804.0,2531.0,634.0,3.0,86.5,269.0,14115.0,90.0,,20.0,6695.0,,10021.0,60.0,7235.0,6624.0,13226.0,1683.0,1006.0,483.0,30.0,10455.0,3311.0
2013,160 388 ,58 985 ,2 735,29 076 ,46 676 ,13396.0,102.0,3314.0,1999.0,2835.0,92.0,79.0,461.4,199.0,1955.0,217.0,,25.0,2207.0,,3027.0,47.0,1289.0,421.0,1132.0,270.0,66.0,1508.0,29.0,11456.0,220.0
2014,22 820 ,46 721 ,4 735,36 125 ,25 846 ,43125.0,92.0,916.0,188.0,669.0,536.0,77.0,881.0,120.0,4454.0,591.0,,162.0,1540.0,,846.0,770.0,2690.0,217.0,599.0,192.0,18.0,14666.0,46.0,3117.0,16677.0
2015,67 200 ,103 200 ,8 169,41 511 ,7 096 ,13010.0,114.0,4313.0,9416.0,652.0,344.0,83.0,143.0,526.0,4730.0,615.0,753.0,71.0,992.0,,1798.0,143.0,5510.0,1671.0,1474.0,353.0,65.0,594.0,47.0,3219.0,2625.0
2016,167 808 ,65 817 ,14 101,65 503 ,26 540 ,18370.0,23.0,6340.0,7100.0,3205.0,141.0,123.0,310.0,283.0,974.0,467.0,1871.0,26.0,2585.0,,450.0,1884.0,1451.0,675.0,843.0,175.0,526.0,1288.0,454.0,9156.0,1101.0
2017,539 921 ,178 234 ,23 093,161 987 ,13 393 ,53975.0,25.0,4569.0,48543.0,428.0,170.0,33.0,460.0,395.0,4933.0,265.0,264.0,53.0,2414.0,232.0,5619.0,525.0,1023.0,2459.0,4757.0,295.0,441.0,1433.0,118.0,11992.0,5474.0
2018,44 578 ,25 162 ,3 940,19 481 ,15 464 ,2312.0,19.0,1453.0,1506.0,1136.0,492.0,430.0,1228.0,2349.0,906.0,2864.0,643.0,110.0,841.0,639.0,95.0,3279.0,2696.0,1341.0,1502.0,248.0,20.0,24310.0,69.0,5644.0,1367.0
2019,42 085 ,83 963 ,13 394,36 034 ,9 153 ,21048.0,20.0,5620.0,2180.0,733.0,520.0,69.0,565.0,2711.0,6541.0,805.0,3155.0,200.0,3232.0,250.0,4834.0,3077.0,3572.0,2496.0,9872.0,462.0,154.0,1233.0,31.0,11332.0,1065.0
2020,67 170 ,65 923 ,10 722,55 656 ,9 300 ,43918.0,60.0,5258.0,23994.0,1305.0,484.0,191.0,719.0,368.0,2895.0,309.0,1851.0,64.0,5569.0,1072.0,68.0,363.0,8417.0,5152.0,1417.0,477.0,118.0,821.0,26.0,20971.0,74623.0
2021,28 360 ,87 880 ,12 779,151 964 ,108 418 ,100101.0,117.0,3143.0,6660.0,6612.0,411.0,33.0,785.0,148.0,2413.0,504.0,1508.0,11.0,3064.0,18.0,6796.0,653.0,894.0,2101.0,1630.0,159.0,124.0,731.0,35.0,139503.0,289.0
2022,110 097,267 947,58 123,71 694,18 807,27685.0,550.0,8126.0,24226.0,685.0,1715.0,20.0,267.0,3058.0,20947.0,217.0,79.0,53.0,22762.0,220.0,199.0,2455.0,2853.0,13153.0,1053.0,1210.0,4059.0,912.0,322.0,12799.0,18100.0
2023,34 510 ,89 068 ,5 361,88 806 ,136 499 ,,21.0,6388.0,1837.0,2216.0,217.0,75.0,383.0,1240.0,911.0,622.0,132.0,60.0,6246.0,116.0,529.0,3059.0,1129.0,554.25,358.0,30.0,118.0,894.0,120.0,15520.0,907.0
2024,137651,47711.13,2949,52623,28288.46,,142.0,17116.0,14607.0,3425.0,140.4,16.6,390.0,334.0,2799.0,63.0,,49.47,874.0,17.0,61061.0,887.0,1357.8,10360.0,6870.0,81.73,134.42,310.0,42.0,27485.0,23963.0
