year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
2022,SWE,Sweden,912.0,5189,LOW,0.18,2020,0.079,wildfire,Northern/Eastern Europe,"In 2022, Sweden recorded 5189 forest fires burning 912 hectares. Severity: LOW. Average fire size: 0.18 ha. Risk score: 0.079. This was a low severity wildfire event in 2020s Europe."
2020,TUR,Turkey,20971.0,3399,HIGH,6.17,2020,0.077,wildfire,Southern Europe,"In 2020, Turkey recorded 3399 forest fires burning 20971 hectares. Severity: HIGH. Average fire size: 6.17 ha. Risk score: 0.077. This was a high severity wildfire event in 2020s Europe."
2004,SWE,Sweden,1883.0,4955,LOW,0.38,2000,0.077,wildfire,Northern/Eastern Europe,"In 2004, Sweden recorded 4955 forest fires burning 1883 hectares. Severity: LOW. Average fire size: 0.38 ha. Risk score: 0.077. This was a low severity wildfire event in 2000s Europe."
2006,SWE,Sweden,5710.0,4618,MEDIUM,1.24,2000,0.076,wildfire,Northern/Eastern Europe,"In 2006, Sweden recorded 4618 forest fires burning 5710 hectares. Severity: MEDIUM. Average fire size: 1.24 ha. Risk score: 0.076. This was a medium severity wildfire event in 2000s Europe."
2013,POL,Poland,1289.0,4883,LOW,0.26,2010,0.075,wildfire,Northern/Eastern Europe,"In 2013, Poland recorded 4883 forest fires burning 1289 hectares. Severity: LOW. Average fire size: 0.26 ha. Risk score: 0.075. This was a low severity wildfire event in 2010s Europe."
2013,SWE,Sweden,1508.0,4878,LOW,0.31,2010,0.075,wildfire,Northern/Eastern Europe,"In 2013, Sweden recorded 4878 forest fires burning 1508 hectares. Severity: LOW. Average fire size: 0.31 ha. Risk score: 0.075. This was a low severity wildfire event in 2010s Europe."
2023,POL,Poland,1129.0,4908,LOW,0.23,2020,0.075,wildfire,Northern/Eastern Europe,"In 2023, Poland recorded 4908 forest fires burning 1129 hectares. Severity: LOW. Average fire size: 0.23 ha. Risk score: 0.075. This was a low severity wildfire event in 2020s Europe."
2001,SWE,Sweden,1254.0,4831,LOW,0.26,2000,0.074,wildfire,Northern/Eastern Europe,"In 2001, Sweden recorded 4831 forest fires burning 1254 hectares. Severity: LOW. Average fire size: 0.26 ha. Risk score: 0.074. This was a low severity wildfire event in 2000s Europe."
1999,SWE,Sweden,1771.0,4707,LOW,0.38,1990,0.073,wildfire,Northern/Eastern Europe,"In 1999, Sweden recorded 4707 forest fires burning 1771 hectares. Severity: LOW. Average fire size: 0.38 ha. Risk score: 0.073. This was a low severity wildfire event in 1990s Europe."
2010,POL,Poland,2126.0,4680,LOW,0.45,2010,0.073,wildfire,Northern/Eastern Europe,"In 2010, Poland recorded 4680 forest fires burning 2126 hectares. Severity: LOW. Average fire size: 0.45 ha. Risk score: 0.073. This was a low severity wildfire event in 2010s Europe."
2000,SWE,Sweden,1552.0,4708,LOW,0.33,2000,0.073,wildfire,Northern/Eastern Europe,"In 2000, Sweden recorded 4708 forest fires burning 1552 hectares. Severity: LOW. Average fire size: 0.33 ha. Risk score: 0.073. This was a low severity wildfire event in 2000s Europe."
2001,POL,Poland,3466.0,4480,LOW,0.77,2000,0.072,wildfire,Northern/Eastern Europe,"In 2001, Poland recorded 4480 forest fires burning 3466 hectares. Severity: LOW. Average fire size: 0.77 ha. Risk score: 0.072. This was a low severity wildfire event in 2000s Europe."
2000,TUR,Turkey,26653.0,2555,HIGH,10.43,2000,0.072,wildfire,Southern Europe,"In 2000, Turkey recorded 2555 forest fires burning 26653 hectares. Severity: HIGH. Average fire size: 10.43 ha. Risk score: 0.072. This was a high severity wildfire event in 2000s Europe."
2023,SWE,Sweden,894.0,4744,LOW,0.19,2020,0.072,wildfire,Northern/Eastern Europe,"In 2023, Sweden recorded 4744 forest fires burning 894 hectares. Severity: LOW. Average fire size: 0.19 ha. Risk score: 0.072. This was a low severity wildfire event in 2020s Europe."
2008,TUR,Turkey,29749.0,2135,HIGH,13.93,2000,0.071,wildfire,Southern Europe,"In 2008, Turkey recorded 2135 forest fires burning 29749 hectares. Severity: HIGH. Average fire size: 13.93 ha. Risk score: 0.071. This was a high severity wildfire event in 2000s Europe."
2013,TUR,Turkey,11456.0,3755,MEDIUM,3.05,2010,0.071,wildfire,Southern Europe,"In 2013, Turkey recorded 3755 forest fires burning 11456 hectares. Severity: MEDIUM. Average fire size: 3.05 ha. Risk score: 0.071. This was a medium severity wildfire event in 2010s Europe."
2005,SWE,Sweden,1562.0,4573,LOW,0.34,2000,0.071,wildfire,Northern/Eastern Europe,"In 2005, Sweden recorded 4573 forest fires burning 1562 hectares. Severity: LOW. Average fire size: 0.34 ha. Risk score: 0.071. This was a low severity wildfire event in 2000s Europe."
2016,DZA,Algeria,18370.0,3150,MEDIUM,5.83,2010,0.07,wildfire,Southern Europe,"In 2016, Algeria recorded 3150 forest fires burning 18370 hectares. Severity: MEDIUM. Average fire size: 5.83 ha. Risk score: 0.07. This was a medium severity wildfire event in 2010s Europe."
2022,HUN,Hungary,20947.0,2731,HIGH,7.67,2020,0.068,wildfire,Northern/Eastern Europe,"In 2022, Hungary recorded 2731 forest fires burning 20947 hectares. Severity: HIGH. Average fire size: 7.67 ha. Risk score: 0.068. This was a high severity wildfire event in 2020s Europe."
2009,SWE,Sweden,1537.0,4180,LOW,0.37,2000,0.065,wildfire,Northern/Eastern Europe,"In 2009, Sweden recorded 4180 forest fires burning 1537 hectares. Severity: LOW. Average fire size: 0.37 ha. Risk score: 0.065. This was a low severity wildfire event in 2000s Europe."
2020,HRV,Croatia,23994.0,142,HIGH,168.97,2020,0.065,wildfire,Northern/Eastern Europe,"In 2020, Croatia recorded 142 forest fires burning 23994 hectares. Severity: HIGH. Average fire size: 168.97 ha. Risk score: 0.065. This was a high severity wildfire event in 2020s Europe."
2021,SWE,Sweden,731.0,4087,LOW,0.18,2020,0.062,wildfire,Northern/Eastern Europe,"In 2021, Sweden recorded 4087 forest fires burning 731 hectares. Severity: LOW. Average fire size: 0.18 ha. Risk score: 0.062. This was a low severity wildfire event in 2020s Europe."
2022,DZA,Algeria,27685.0,1607,HIGH,17.23,2020,0.061,wildfire,Southern Europe,"In 2022, Algeria recorded 1607 forest fires burning 27685 hectares. Severity: HIGH. Average fire size: 17.23 ha. Risk score: 0.061. This was a high severity wildfire event in 2020s Europe."
2019,DZA,Algeria,21048.0,2278,HIGH,9.24,2010,0.061,wildfire,Southern Europe,"In 2019, Algeria recorded 2278 forest fires burning 21048 hectares. Severity: HIGH. Average fire size: 9.24 ha. Risk score: 0.061. This was a high severity wildfire event in 2010s Europe."
2024,UKR,Ukraine,23963.0,1993,HIGH,12.02,2020,0.061,wildfire,Northern/Eastern Europe,"In 2024, Ukraine recorded 1993 forest fires burning 23963 hectares. Severity: HIGH. Average fire size: 12.02 ha. Risk score: 0.061. This was a high severity wildfire event in 2020s Europe."
