year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
2015,DZA,Algeria,13010.0,2383,MEDIUM,5.46,2010,0.052,wildfire,Southern Europe,"In 2015, Algeria recorded 2383 forest fires burning 13010 hectares. Severity: MEDIUM. Average fire size: 5.46 ha. Risk score: 0.052. This was a medium severity wildfire event in 2010s Europe."
1992,DEU,Germany,4908.0,3012,LOW,1.63,1990,0.051,wildfire,Northern/Eastern Europe,"In 1992, Germany recorded 3012 forest fires burning 4908 hectares. Severity: LOW. Average fire size: 1.63 ha. Risk score: 0.051. This was a low severity wildfire event in 1990s Europe."
2021,POL,Poland,894.0,3295,LOW,0.27,2020,0.051,wildfire,Northern/Eastern Europe,"In 2021, Poland recorded 3295 forest fires burning 894 hectares. Severity: LOW. Average fire size: 0.27 ha. Risk score: 0.051. This was a low severity wildfire event in 2020s Europe."
2003,HRV,Croatia,27091.0,532,HIGH,50.92,2000,0.051,wildfire,Northern/Eastern Europe,"In 2003, Croatia recorded 532 forest fires burning 27091 hectares. Severity: HIGH. Average fire size: 50.92 ha. Risk score: 0.051. This was a high severity wildfire event in 2000s Europe."
2012,TUR,Turkey,10455.0,2450,MEDIUM,4.27,2010,0.05,wildfire,Southern Europe,"In 2012, Turkey recorded 2450 forest fires burning 10455 hectares. Severity: MEDIUM. Average fire size: 4.27 ha. Risk score: 0.05. This was a medium severity wildfire event in 2010s Europe."
2022,TUR,Turkey,12799.0,2160,MEDIUM,5.93,2020,0.049,wildfire,Southern Europe,"In 2022, Turkey recorded 2160 forest fires burning 12799 hectares. Severity: MEDIUM. Average fire size: 5.93 ha. Risk score: 0.049. This was a medium severity wildfire event in 2020s Europe."
2001,TUR,Turkey,7394.0,2631,MEDIUM,2.81,2000,0.049,wildfire,Southern Europe,"In 2001, Turkey recorded 2631 forest fires burning 7394 hectares. Severity: MEDIUM. Average fire size: 2.81 ha. Risk score: 0.049. This was a medium severity wildfire event in 2000s Europe."
2006,FIN,Finland,1617.0,3046,LOW,0.53,2000,0.048,wildfire,Northern/Eastern Europe,"In 2006, Finland recorded 3046 forest fires burning 1617 hectares. Severity: LOW. Average fire size: 0.53 ha. Risk score: 0.048. This was a low severity wildfire event in 2000s Europe."
1992,TUR,Turkey,12232.0,2117,MEDIUM,5.78,1990,0.048,wildfire,Southern Europe,"In 1992, Turkey recorded 2117 forest fires burning 12232 hectares. Severity: MEDIUM. Average fire size: 5.78 ha. Risk score: 0.048. This was a medium severity wildfire event in 1990s Europe."
2012,HRV,Croatia,24804.0,569,HIGH,43.59,2010,0.047,wildfire,Northern/Eastern Europe,"In 2012, Croatia recorded 569 forest fires burning 24804 hectares. Severity: HIGH. Average fire size: 43.59 ha. Risk score: 0.047. This was a high severity wildfire event in 2010s Europe."
2010,SWE,Sweden,540.0,3120,LOW,0.17,2010,0.047,wildfire,Northern/Eastern Europe,"In 2010, Sweden recorded 3120 forest fires burning 540 hectares. Severity: LOW. Average fire size: 0.17 ha. Risk score: 0.047. This was a low severity wildfire event in 2010s Europe."
2024,HRV,Croatia,14607.0,106,MEDIUM,137.8,2020,0.047,wildfire,Northern/Eastern Europe,"In 2024, Croatia recorded 106 forest fires burning 14607 hectares. Severity: MEDIUM. Average fire size: 137.8 ha. Risk score: 0.047. This was a medium severity wildfire event in 2020s Europe."
2014,UKR,Ukraine,16677.0,1486,MEDIUM,11.22,2010,0.045,wildfire,Northern/Eastern Europe,"In 2014, Ukraine recorded 1486 forest fires burning 16677 hectares. Severity: MEDIUM. Average fire size: 11.22 ha. Risk score: 0.045. This was a medium severity wildfire event in 2010s Europe."
1990,TUR,Turkey,13742.0,1750,MEDIUM,7.85,1990,0.044,wildfire,Southern Europe,"In 1990, Turkey recorded 1750 forest fires burning 13742 hectares. Severity: MEDIUM. Average fire size: 7.85 ha. Risk score: 0.044. This was a medium severity wildfire event in 1990s Europe."
1996,TUR,Turkey,14922.0,1645,MEDIUM,9.07,1990,0.044,wildfire,Southern Europe,"In 1996, Turkey recorded 1645 forest fires burning 14922 hectares. Severity: MEDIUM. Average fire size: 9.07 ha. Risk score: 0.044. This was a medium severity wildfire event in 1990s Europe."
2022,MAR,Morocco,22762.0,499,HIGH,45.62,2020,0.044,wildfire,Southern Europe,"In 2022, Morocco recorded 499 forest fires burning 22762 hectares. Severity: HIGH. Average fire size: 45.62 ha. Risk score: 0.044. This was a high severity wildfire event in 2020s Europe."
2006,TUR,Turkey,7762.0,2227,MEDIUM,3.49,2000,0.043,wildfire,Southern Europe,"In 2006, Turkey recorded 2227 forest fires burning 7762 hectares. Severity: MEDIUM. Average fire size: 3.49 ha. Risk score: 0.043. This was a medium severity wildfire event in 2000s Europe."
1993,BGR,Bulgaria,18164.0,1196,MEDIUM,15.19,1990,0.043,wildfire,Northern/Eastern Europe,"In 1993, Bulgaria recorded 1196 forest fires burning 18164 hectares. Severity: MEDIUM. Average fire size: 15.19 ha. Risk score: 0.043. This was a medium severity wildfire event in 1990s Europe."
2017,UKR,Ukraine,5474.0,2371,MEDIUM,2.31,2010,0.043,wildfire,Northern/Eastern Europe,"In 2017, Ukraine recorded 2371 forest fires burning 5474 hectares. Severity: MEDIUM. Average fire size: 2.31 ha. Risk score: 0.043. This was a medium severity wildfire event in 2010s Europe."
2024,SWE,Sweden,310.0,2867,LOW,0.11,2020,0.043,wildfire,Northern/Eastern Europe,"In 2024, Sweden recorded 2867 forest fires burning 310 hectares. Severity: LOW. Average fire size: 0.11 ha. Risk score: 0.043. This was a low severity wildfire event in 2020s Europe."
2003,TUR,Turkey,6644.0,2177,MEDIUM,3.05,2000,0.041,wildfire,Southern Europe,"In 2003, Turkey recorded 2177 forest fires burning 6644 hectares. Severity: MEDIUM. Average fire size: 3.05 ha. Risk score: 0.041. This was a medium severity wildfire event in 2000s Europe."
2007,HRV,Croatia,20209.0,345,HIGH,58.58,2000,0.041,wildfire,Northern/Eastern Europe,"In 2007, Croatia recorded 345 forest fires burning 20209 hectares. Severity: HIGH. Average fire size: 58.58 ha. Risk score: 0.041. This was a high severity wildfire event in 2000s Europe."
2022,UKR,Ukraine,18100.0,1098,MEDIUM,16.48,2020,0.041,wildfire,Northern/Eastern Europe,"In 2022, Ukraine recorded 1098 forest fires burning 18100 hectares. Severity: MEDIUM. Average fire size: 16.48 ha. Risk score: 0.041. This was a medium severity wildfire event in 2020s Europe."
1993,HRV,Croatia,20157.0,372,HIGH,54.19,1990,0.041,wildfire,Northern/Eastern Europe,"In 1993, Croatia recorded 372 forest fires burning 20157 hectares. Severity: HIGH. Average fire size: 54.19 ha. Risk score: 0.041. This was a high severity wildfire event in 1990s Europe."
2011,HUN,Hungary,8055.0,2021,MEDIUM,3.99,2010,0.041,wildfire,Northern/Eastern Europe,"In 2011, Hungary recorded 2021 forest fires burning 8055 hectares. Severity: MEDIUM. Average fire size: 3.99 ha. Risk score: 0.041. This was a medium severity wildfire event in 2010s Europe."
2015,SWE,Sweden,594.0,2700,LOW,0.22,2010,0.041,wildfire,Northern/Eastern Europe,"In 2015, Sweden recorded 2700 forest fires burning 594 hectares. Severity: LOW. Average fire size: 0.22 ha. Risk score: 0.041. This was a low severity wildfire event in 2010s Europe."
2001,BGR,Bulgaria,20152.0,825,HIGH,24.43,2000,0.041,wildfire,Northern/Eastern Europe,"In 2001, Bulgaria recorded 825 forest fires burning 20152 hectares. Severity: HIGH. Average fire size: 24.43 ha. Risk score: 0.041. This was a high severity wildfire event in 2000s Europe."
1998,CZE,Czech Republic,1132.0,2563,LOW,0.44,1990,0.04,wildfire,Northern/Eastern Europe,"In 1998, Czech Republic recorded 2563 forest fires burning 1132 hectares. Severity: LOW. Average fire size: 0.44 ha. Risk score: 0.04. This was a low severity wildfire event in 1990s Europe."
2003,DEU,Germany,1315.0,2524,LOW,0.52,2000,0.04,wildfire,Northern/Eastern Europe,"In 2003, Germany recorded 2524 forest fires burning 1315 hectares. Severity: LOW. Average fire size: 0.52 ha. Risk score: 0.04. This was a low severity wildfire event in 2000s Europe."
2018,TUR,Turkey,5644.0,2167,MEDIUM,2.6,2010,0.04,wildfire,Southern Europe,"In 2018, Turkey recorded 2167 forest fires burning 5644 hectares. Severity: MEDIUM. Average fire size: 2.6 ha. Risk score: 0.04. This was a medium severity wildfire event in 2010s Europe."
2022,DEU,Germany,3058.0,2397,LOW,1.28,2020,0.04,wildfire,Northern/Eastern Europe,"In 2022, Germany recorded 2397 forest fires burning 3058 hectares. Severity: LOW. Average fire size: 1.28 ha. Risk score: 0.04. This was a low severity wildfire event in 2020s Europe."
2019,HUN,Hungary,6541.0,2088,MEDIUM,3.13,2010,0.04,wildfire,Northern/Eastern Europe,"In 2019, Hungary recorded 2088 forest fires burning 6541 hectares. Severity: MEDIUM. Average fire size: 3.13 ha. Risk score: 0.04. This was a medium severity wildfire event in 2010s Europe."
2002,FIN,Finland,590.0,2546,LOW,0.23,2000,0.039,wildfire,Northern/Eastern Europe,"In 2002, Finland recorded 2546 forest fires burning 590 hectares. Severity: LOW. Average fire size: 0.23 ha. Risk score: 0.039. This was a low severity wildfire event in 2000s Europe."
1999,TUR,Turkey,5804.0,2075,MEDIUM,2.8,1990,0.039,wildfire,Southern Europe,"In 1999, Turkey recorded 2075 forest fires burning 5804 hectares. Severity: MEDIUM. Average fire size: 2.8 ha. Risk score: 0.039. This was a medium severity wildfire event in 1990s Europe."
2022,CZE,Czech Republic,1715.0,2473,LOW,0.69,2020,0.039,wildfire,Northern/Eastern Europe,"In 2022, Czech Republic recorded 2473 forest fires burning 1715 hectares. Severity: LOW. Average fire size: 0.69 ha. Risk score: 0.039. This was a low severity wildfire event in 2020s Europe."
1998,TUR,Turkey,6764.0,1932,MEDIUM,3.5,1990,0.038,wildfire,Southern Europe,"In 1998, Turkey recorded 1932 forest fires burning 6764 hectares. Severity: MEDIUM. Average fire size: 3.5 ha. Risk score: 0.038. This was a medium severity wildfire event in 1990s Europe."
1998,SWE,Sweden,422.0,2503,LOW,0.17,1990,0.038,wildfire,Northern/Eastern Europe,"In 1998, Sweden recorded 2503 forest fires burning 422 hectares. Severity: LOW. Average fire size: 0.17 ha. Risk score: 0.038. This was a low severity wildfire event in 1990s Europe."
2018,FIN,Finland,1228.0,2427,LOW,0.51,2010,0.038,wildfire,Northern/Eastern Europe,"In 2018, Finland recorded 2427 forest fires burning 1228 hectares. Severity: LOW. Average fire size: 0.51 ha. Risk score: 0.038. This was a low severity wildfire event in 2010s Europe."
1994,BGR,Bulgaria,18100.0,667,MEDIUM,27.14,1990,0.037,wildfire,Northern/Eastern Europe,"In 1994, Bulgaria recorded 667 forest fires burning 18100 hectares. Severity: MEDIUM. Average fire size: 27.14 ha. Risk score: 0.037. This was a medium severity wildfire event in 1990s Europe."
2015,UKR,Ukraine,2625.0,2225,LOW,1.18,2010,0.037,wildfire,Northern/Eastern Europe,"In 2015, Ukraine recorded 2225 forest fires burning 2625 hectares. Severity: LOW. Average fire size: 1.18 ha. Risk score: 0.037. This was a low severity wildfire event in 2010s Europe."
1995,TUR,Turkey,7676.0,1770,MEDIUM,4.34,1990,0.037,wildfire,Southern Europe,"In 1995, Turkey recorded 1770 forest fires burning 7676 hectares. Severity: MEDIUM. Average fire size: 4.34 ha. Risk score: 0.037. This was a medium severity wildfire event in 1990s Europe."
2010,UKR,Ukraine,1239.0,2368,LOW,0.52,2010,0.037,wildfire,Northern/Eastern Europe,"In 2010, Ukraine recorded 2368 forest fires burning 1239 hectares. Severity: LOW. Average fire size: 0.52 ha. Risk score: 0.037. This was a low severity wildfire event in 2010s Europe."
2015,TUR,Turkey,3219.0,2150,LOW,1.5,2010,0.036,wildfire,Southern Europe,"In 2015, Turkey recorded 2150 forest fires burning 3219 hectares. Severity: LOW. Average fire size: 1.5 ha. Risk score: 0.036. This was a low severity wildfire event in 2010s Europe."
2014,TUR,Turkey,3117.0,2149,LOW,1.45,2010,0.036,wildfire,Southern Europe,"In 2014, Turkey recorded 2149 forest fires burning 3117 hectares. Severity: LOW. Average fire size: 1.45 ha. Risk score: 0.036. This was a low severity wildfire event in 2010s Europe."
2011,MKD,North Macedonia,17308.0,523,MEDIUM,33.09,2010,0.035,wildfire,Northern/Eastern Europe,"In 2011, North Macedonia recorded 523 forest fires burning 17308 hectares. Severity: MEDIUM. Average fire size: 33.09 ha. Risk score: 0.035. This was a medium severity wildfire event in 2010s Europe."
2001,HRV,Croatia,16169.0,299,MEDIUM,54.08,2000,0.035,wildfire,Northern/Eastern Europe,"In 2001, Croatia recorded 299 forest fires burning 16169 hectares. Severity: MEDIUM. Average fire size: 54.08 ha. Risk score: 0.035. This was a medium severity wildfire event in 2000s Europe."
2012,SWE,Sweden,483.0,2213,LOW,0.22,2010,0.034,wildfire,Northern/Eastern Europe,"In 2012, Sweden recorded 2213 forest fires burning 483 hectares. Severity: LOW. Average fire size: 0.22 ha. Risk score: 0.034. This was a low severity wildfire event in 2010s Europe."
2022,ROU,Romania,13153.0,1021,MEDIUM,12.88,2020,0.034,wildfire,Northern/Eastern Europe,"In 2022, Romania recorded 1021 forest fires burning 13153 hectares. Severity: MEDIUM. Average fire size: 12.88 ha. Risk score: 0.034. This was a medium severity wildfire event in 2020s Europe."
2011,TUR,Turkey,3612.0,1954,LOW,1.85,2010,0.034,wildfire,Southern Europe,"In 2011, Turkey recorded 1954 forest fires burning 3612 hectares. Severity: LOW. Average fire size: 1.85 ha. Risk score: 0.034. This was a low severity wildfire event in 2010s Europe."
2011,HRV,Croatia,15555.0,280,MEDIUM,55.55,2010,0.034,wildfire,Northern/Eastern Europe,"In 2011, Croatia recorded 280 forest fires burning 15555 hectares. Severity: MEDIUM. Average fire size: 55.55 ha. Risk score: 0.034. This was a medium severity wildfire event in 2010s Europe."
1992,LVA,Latvia,8412.0,1510,MEDIUM,5.57,1990,0.034,wildfire,Northern/Eastern Europe,"In 1992, Latvia recorded 1510 forest fires burning 8412 hectares. Severity: MEDIUM. Average fire size: 5.57 ha. Risk score: 0.034. This was a medium severity wildfire event in 1990s Europe."
2010,TUR,Turkey,3517.0,1861,LOW,1.89,2010,0.033,wildfire,Southern Europe,"In 2010, Turkey recorded 1861 forest fires burning 3517 hectares. Severity: LOW. Average fire size: 1.89 ha. Risk score: 0.033. This was a low severity wildfire event in 2010s Europe."
2004,TUR,Turkey,4876.0,1762,LOW,2.77,2000,0.033,wildfire,Southern Europe,"In 2004, Turkey recorded 1762 forest fires burning 4876 hectares. Severity: LOW. Average fire size: 2.77 ha. Risk score: 0.033. This was a low severity wildfire event in 2000s Europe."
1991,TUR,Turkey,8081.0,1481,MEDIUM,5.46,1990,0.033,wildfire,Southern Europe,"In 1991, Turkey recorded 1481 forest fires burning 8081 hectares. Severity: MEDIUM. Average fire size: 5.46 ha. Risk score: 0.033. This was a medium severity wildfire event in 1990s Europe."
2002,TUR,Turkey,8514.0,1471,MEDIUM,5.79,2000,0.033,wildfire,Southern Europe,"In 2002, Turkey recorded 1471 forest fires burning 8514 hectares. Severity: MEDIUM. Average fire size: 5.79 ha. Risk score: 0.033. This was a medium severity wildfire event in 2000s Europe."
2009,TUR,Turkey,4679.0,1793,LOW,2.61,2000,0.033,wildfire,Southern Europe,"In 2009, Turkey recorded 1793 forest fires burning 4679 hectares. Severity: LOW. Average fire size: 2.61 ha. Risk score: 0.033. This was a low severity wildfire event in 2000s Europe."
2006,LVA,Latvia,3387.0,1929,LOW,1.76,2000,0.033,wildfire,Northern/Eastern Europe,"In 2006, Latvia recorded 1929 forest fires burning 3387 hectares. Severity: LOW. Average fire size: 1.76 ha. Risk score: 0.033. This was a low severity wildfire event in 2000s Europe."
2020,CZE,Czech Republic,484.0,2081,LOW,0.23,2020,0.032,wildfire,Northern/Eastern Europe,"In 2020, Czech Republic recorded 2081 forest fires burning 484 hectares. Severity: LOW. Average fire size: 0.23 ha. Risk score: 0.032. This was a low severity wildfire event in 2020s Europe."
1997,TUR,Turkey,6517.0,1569,MEDIUM,4.15,1990,0.032,wildfire,Southern Europe,"In 1997, Turkey recorded 1569 forest fires burning 6517 hectares. Severity: MEDIUM. Average fire size: 4.15 ha. Risk score: 0.032. This was a medium severity wildfire event in 1990s Europe."
2012,BGR,Bulgaria,12730.0,876,MEDIUM,14.53,2010,0.031,wildfire,Northern/Eastern Europe,"In 2012, Bulgaria recorded 876 forest fires burning 12730 hectares. Severity: MEDIUM. Average fire size: 14.53 ha. Risk score: 0.031. This was a medium severity wildfire event in 2010s Europe."
2018,CZE,Czech Republic,492.0,2033,LOW,0.24,2010,0.031,wildfire,Northern/Eastern Europe,"In 2018, Czech Republic recorded 2033 forest fires burning 492 hectares. Severity: LOW. Average fire size: 0.24 ha. Risk score: 0.031. This was a low severity wildfire event in 2010s Europe."
2019,CZE,Czech Republic,520.0,1963,LOW,0.26,2010,0.03,wildfire,Northern/Eastern Europe,"In 2019, Czech Republic recorded 1963 forest fires burning 520 hectares. Severity: LOW. Average fire size: 0.26 ha. Risk score: 0.03. This was a low severity wildfire event in 2010s Europe."
2012,UKR,Ukraine,3311.0,1743,LOW,1.9,2010,0.03,wildfire,Northern/Eastern Europe,"In 2012, Ukraine recorded 1743 forest fires burning 3311 hectares. Severity: LOW. Average fire size: 1.9 ha. Risk score: 0.03. This was a low severity wildfire event in 2010s Europe."
2018,DEU,Germany,2349.0,1708,LOW,1.38,2010,0.029,wildfire,Northern/Eastern Europe,"In 2018, Germany recorded 1708 forest fires burning 2349 hectares. Severity: LOW. Average fire size: 1.38 ha. Risk score: 0.029. This was a low severity wildfire event in 2010s Europe."
2002,LVA,Latvia,2222.0,1720,LOW,1.29,2000,0.029,wildfire,Northern/Eastern Europe,"In 2002, Latvia recorded 1720 forest fires burning 2222 hectares. Severity: LOW. Average fire size: 1.29 ha. Risk score: 0.029. This was a low severity wildfire event in 2000s Europe."
2012,SRB,Serbia,13226.0,318,MEDIUM,41.59,2010,0.029,wildfire,Northern/Eastern Europe,"In 2012, Serbia recorded 318 forest fires burning 13226 hectares. Severity: MEDIUM. Average fire size: 41.59 ha. Risk score: 0.029. This was a medium severity wildfire event in 2010s Europe."
1991,DEU,Germany,920.0,1846,LOW,0.5,1990,0.029,wildfire,Northern/Eastern Europe,"In 1991, Germany recorded 1846 forest fires burning 920 hectares. Severity: LOW. Average fire size: 0.5 ha. Risk score: 0.029. This was a low severity wildfire event in 1990s Europe."
1996,DEU,Germany,1381.0,1748,LOW,0.79,1990,0.028,wildfire,Northern/Eastern Europe,"In 1996, Germany recorded 1748 forest fires burning 1381 hectares. Severity: LOW. Average fire size: 0.79 ha. Risk score: 0.028. This was a low severity wildfire event in 1990s Europe."
2017,HUN,Hungary,4933.0,1454,LOW,3.39,2010,0.028,wildfire,Northern/Eastern Europe,"In 2017, Hungary recorded 1454 forest fires burning 4933 hectares. Severity: LOW. Average fire size: 3.39 ha. Risk score: 0.028. This was a low severity wildfire event in 2010s Europe."
2003,CZE,Czech Republic,1236.0,1754,LOW,0.7,2000,0.028,wildfire,Northern/Eastern Europe,"In 2003, Czech Republic recorded 1754 forest fires burning 1236 hectares. Severity: LOW. Average fire size: 0.7 ha. Risk score: 0.028. This was a low severity wildfire event in 2000s Europe."
2005,TUR,Turkey,2821.0,1530,LOW,1.84,2000,0.027,wildfire,Southern Europe,"In 2005, Turkey recorded 1530 forest fires burning 2821 hectares. Severity: LOW. Average fire size: 1.84 ha. Risk score: 0.027. This was a low severity wildfire event in 2000s Europe."
1993,DEU,Germany,1493.0,1694,LOW,0.88,1990,0.027,wildfire,Northern/Eastern Europe,"In 1993, Germany recorded 1694 forest fires burning 1493 hectares. Severity: LOW. Average fire size: 0.88 ha. Risk score: 0.027. This was a low severity wildfire event in 1990s Europe."
2015,CZE,Czech Republic,344.0,1748,LOW,0.2,2010,0.027,wildfire,Northern/Eastern Europe,"In 2015, Czech Republic recorded 1748 forest fires burning 344 hectares. Severity: LOW. Average fire size: 0.2 ha. Risk score: 0.027. This was a low severity wildfire event in 2010s Europe."
2003,FIN,Finland,666.0,1734,LOW,0.38,2000,0.027,wildfire,Northern/Eastern Europe,"In 2003, Finland recorded 1734 forest fires burning 666 hectares. Severity: LOW. Average fire size: 0.38 ha. Risk score: 0.027. This was a low severity wildfire event in 2000s Europe."
1994,DEU,Germany,1114.0,1696,LOW,0.66,1990,0.027,wildfire,Northern/Eastern Europe,"In 1994, Germany recorded 1696 forest fires burning 1114 hectares. Severity: LOW. Average fire size: 0.66 ha. Risk score: 0.027. This was a low severity wildfire event in 1990s Europe."
2011,UKR,Ukraine,612.0,1761,LOW,0.35,2010,0.027,wildfire,Northern/Eastern Europe,"In 2011, Ukraine recorded 1761 forest fires burning 612 hectares. Severity: LOW. Average fire size: 0.35 ha. Risk score: 0.027. This was a low severity wildfire event in 2010s Europe."
2024,FRA,France,2949.0,1452,LOW,2.03,2020,0.026,wildfire,Southern Europe,"In 2024, France recorded 1452 forest fires burning 2949 hectares. Severity: LOW. Average fire size: 2.03 ha. Risk score: 0.026. This was a low severity wildfire event in 2020s Europe."
2019,DEU,Germany,2711.0,1523,LOW,1.78,2010,0.026,wildfire,Northern/Eastern Europe,"In 2019, Germany recorded 1523 forest fires burning 2711 hectares. Severity: LOW. Average fire size: 1.78 ha. Risk score: 0.026. This was a low severity wildfire event in 2010s Europe."
2024,ROU,Romania,10360.0,728,MEDIUM,14.23,2020,0.026,wildfire,Northern/Eastern Europe,"In 2024, Romania recorded 728 forest fires burning 10360 hectares. Severity: MEDIUM. Average fire size: 14.23 ha. Risk score: 0.026. This was a medium severity wildfire event in 2020s Europe."
2014,FIN,Finland,881.0,1660,LOW,0.53,2010,0.026,wildfire,Northern/Eastern Europe,"In 2014, Finland recorded 1660 forest fires burning 881 hectares. Severity: LOW. Average fire size: 0.53 ha. Risk score: 0.026. This was a low severity wildfire event in 2010s Europe."
2006,LTU,Lithuania,1199.0,1545,LOW,0.78,2000,0.025,wildfire,Northern/Eastern Europe,"In 2006, Lithuania recorded 1545 forest fires burning 1199 hectares. Severity: LOW. Average fire size: 0.78 ha. Risk score: 0.025. This was a low severity wildfire event in 2000s Europe."
2015,HRV,Croatia,9416.0,177,MEDIUM,53.2,2010,0.025,wildfire,Northern/Eastern Europe,"In 2015, Croatia recorded 177 forest fires burning 9416 hectares. Severity: MEDIUM. Average fire size: 53.2 ha. Risk score: 0.025. This was a medium severity wildfire event in 2010s Europe."
1992,HRV,Croatia,11131.0,325,MEDIUM,34.25,1990,0.025,wildfire,Northern/Eastern Europe,"In 1992, Croatia recorded 325 forest fires burning 11131 hectares. Severity: MEDIUM. Average fire size: 34.25 ha. Risk score: 0.025. This was a medium severity wildfire event in 1990s Europe."
2019,SRB,Serbia,9872.0,189,MEDIUM,52.23,2010,0.025,wildfire,Northern/Eastern Europe,"In 2019, Serbia recorded 189 forest fires burning 9872 hectares. Severity: MEDIUM. Average fire size: 52.23 ha. Risk score: 0.025. This was a medium severity wildfire event in 2010s Europe."
1997,FIN,Finland,1146.0,1585,LOW,0.72,1990,0.025,wildfire,Northern/Eastern Europe,"In 1997, Finland recorded 1585 forest fires burning 1146 hectares. Severity: LOW. Average fire size: 0.72 ha. Risk score: 0.025. This was a low severity wildfire event in 1990s Europe."
1996,HRV,Croatia,11214.0,305,MEDIUM,36.77,1990,0.025,wildfire,Northern/Eastern Europe,"In 1996, Croatia recorded 305 forest fires burning 11214 hectares. Severity: MEDIUM. Average fire size: 36.77 ha. Risk score: 0.025. This was a medium severity wildfire event in 1990s Europe."
2002,LTU,Lithuania,746.0,1596,LOW,0.47,2000,0.025,wildfire,Northern/Eastern Europe,"In 2002, Lithuania recorded 1596 forest fires burning 746 hectares. Severity: LOW. Average fire size: 0.47 ha. Risk score: 0.025. This was a low severity wildfire event in 2000s Europe."
1997,HRV,Croatia,11122.0,305,MEDIUM,36.47,1990,0.025,wildfire,Northern/Eastern Europe,"In 1997, Croatia recorded 305 forest fires burning 11122 hectares. Severity: MEDIUM. Average fire size: 36.47 ha. Risk score: 0.025. This was a medium severity wildfire event in 1990s Europe."
2012,CZE,Czech Republic,634.0,1549,LOW,0.41,2010,0.024,wildfire,Northern/Eastern Europe,"In 2012, Czech Republic recorded 1549 forest fires burning 634 hectares. Severity: LOW. Average fire size: 0.41 ha. Risk score: 0.024. This was a low severity wildfire event in 2010s Europe."
1999,FIN,Finland,609.0,1528,LOW,0.4,1990,0.024,wildfire,Northern/Eastern Europe,"In 1999, Finland recorded 1528 forest fires burning 609 hectares. Severity: LOW. Average fire size: 0.4 ha. Risk score: 0.024. This was a low severity wildfire event in 1990s Europe."
1996,CZE,Czech Republic,2043.0,1421,LOW,1.44,1990,0.024,wildfire,Northern/Eastern Europe,"In 1996, Czech Republic recorded 1421 forest fires burning 2043 hectares. Severity: LOW. Average fire size: 1.44 ha. Risk score: 0.024. This was a low severity wildfire event in 1990s Europe."
2004,MAR,Morocco,8660.0,714,MEDIUM,12.13,2000,0.024,wildfire,Southern Europe,"In 2004, Morocco recorded 714 forest fires burning 8660 hectares. Severity: MEDIUM. Average fire size: 12.13 ha. Risk score: 0.024. This was a medium severity wildfire event in 2000s Europe."
2000,CZE,Czech Republic,375.0,1499,LOW,0.25,2000,0.023,wildfire,Northern/Eastern Europe,"In 2000, Czech Republic recorded 1499 forest fires burning 375 hectares. Severity: LOW. Average fire size: 0.25 ha. Risk score: 0.023. This was a low severity wildfire event in 2000s Europe."
2012,ROU,Romania,6624.0,911,MEDIUM,7.27,2010,0.023,wildfire,Northern/Eastern Europe,"In 2012, Romania recorded 911 forest fires burning 6624 hectares. Severity: MEDIUM. Average fire size: 7.27 ha. Risk score: 0.023. This was a medium severity wildfire event in 2010s Europe."
2023,CZE,Czech Republic,217.0,1512,LOW,0.14,2020,0.023,wildfire,Northern/Eastern Europe,"In 2023, Czech Republic recorded 1512 forest fires burning 217 hectares. Severity: LOW. Average fire size: 0.14 ha. Risk score: 0.023. This was a low severity wildfire event in 2020s Europe."
1996,FIN,Finland,433.0,1475,LOW,0.29,1990,0.023,wildfire,Northern/Eastern Europe,"In 1996, Finland recorded 1475 forest fires burning 433 hectares. Severity: LOW. Average fire size: 0.29 ha. Risk score: 0.023. This was a low severity wildfire event in 1990s Europe."
1997,DEU,Germany,599.0,1467,LOW,0.41,1990,0.023,wildfire,Northern/Eastern Europe,"In 1997, Germany recorded 1467 forest fires burning 599 hectares. Severity: LOW. Average fire size: 0.41 ha. Risk score: 0.023. This was a low severity wildfire event in 1990s Europe."
2023,NOR,Norway,3059.0,1251,LOW,2.45,2020,0.023,wildfire,Northern/Eastern Europe,"In 2023, Norway recorded 1251 forest fires burning 3059 hectares. Severity: LOW. Average fire size: 2.45 ha. Risk score: 0.023. This was a low severity wildfire event in 2020s Europe."
2019,FIN,Finland,565.0,1458,LOW,0.39,2010,0.023,wildfire,Northern/Eastern Europe,"In 2019, Finland recorded 1458 forest fires burning 565 hectares. Severity: LOW. Average fire size: 0.39 ha. Risk score: 0.023. This was a low severity wildfire event in 2010s Europe."
2020,HUN,Hungary,2895.0,1239,LOW,2.34,2020,0.023,wildfire,Northern/Eastern Europe,"In 2020, Hungary recorded 1239 forest fires burning 2895 hectares. Severity: LOW. Average fire size: 2.34 ha. Risk score: 0.023. This was a low severity wildfire event in 2020s Europe."
2008,FIN,Finland,830.0,1456,LOW,0.57,2000,0.023,wildfire,Northern/Eastern Europe,"In 2008, Finland recorded 1456 forest fires burning 830 hectares. Severity: LOW. Average fire size: 0.57 ha. Risk score: 0.023. This was a low severity wildfire event in 2000s Europe."
